<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRE.US,D,20251021,000000,18.19,19.01,15.54,17.35,938820,0
IRE.US,D,20251022,000000,18.19,18.95,12.91,14.96,3904684,0
IRE.US,D,20251023,000000,15.71,18.61,15.36,17.5204,3459016,0
IRE.US,D,20251024,000000,19.44,21.97,18.95,21.92,4641841,0
IRE.US,D,20251027,000000,23.25,24.35,21.59,23.34,4704734,0
IRE.US,D,20251028,000000,22.355,24.81,21.1,21.42,2930802,0
IRE.US,D,20251029,000000,20.78,21.805,18.41,20,4358594,0
IRE.US,D,20251030,000000,18.67,20.4,17.97,18.6,2475409,0
IRE.US,D,20251031,000000,20.79,21.67,19.38,20.11,2318059,0
IRE.US,D,20251103,000000,28,29.97,22.55,24.54,8931551,0
IRE.US,D,20251104,000000,22.1,28.15,21.5,23.92,6573239,0
IRE.US,D,20251105,000000,25.45,31.17,24.7,30.84,6301692,0
