<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APUS.US,D,20250509,000000,4,4,2.04,2.2,1682063,0
APUS.US,D,20250512,000000,2.22,2.28,1.72,1.81,389669,0
APUS.US,D,20250513,000000,1.8306,1.8306,1.44,1.75,451654,0
APUS.US,D,20250514,000000,1.73,1.89,1.56,1.86,158423,0
APUS.US,D,20250515,000000,1.9,2.06,1.7,1.73,265544,0
APUS.US,D,20250516,000000,1.79,1.819,1.64,1.7,77832,0
APUS.US,D,20250519,000000,1.68,1.8099,1.65,1.79,84729,0
APUS.US,D,20250520,000000,1.78,1.855,1.75,1.85,24090,0
APUS.US,D,20250521,000000,1.83,1.8593,1.77,1.805,16171,0
APUS.US,D,20250522,000000,1.79,1.86,1.73,1.82,49071,0
APUS.US,D,20250523,000000,1.7834,1.82,1.77,1.81,23875,0
APUS.US,D,20250527,000000,1.8,1.89,1.7746,1.8,52248,0
APUS.US,D,20250528,000000,1.8667,1.8667,1.58,1.64,109603,0
APUS.US,D,20250529,000000,1.65,1.97,1.62,1.73,79587,0
APUS.US,D,20250530,000000,1.73,1.75,1.65,1.75,51448,0
APUS.US,D,20250602,000000,1.75,1.9099,1.75,1.8,72072,0
APUS.US,D,20250603,000000,1.85,1.98,1.8,1.96,85683,0
APUS.US,D,20250604,000000,1.9883,2,1.75,1.88,134180,0
APUS.US,D,20250605,000000,1.8915,1.9248,1.8082,1.9,76749,0
APUS.US,D,20250606,000000,1.8505,1.95,1.8,1.93,33847,0
APUS.US,D,20250609,000000,1.99,1.99,1.37,1.88,92955,0
APUS.US,D,20250610,000000,1.88,1.9112,1.8193,1.84,31351,0
APUS.US,D,20250611,000000,1.85,1.8996,1.77,1.83,18988,0
APUS.US,D,20250612,000000,1.84,1.88,1.805,1.8498,26978,0
APUS.US,D,20250613,000000,1.8,1.8774,1.8,1.83,19443,0
APUS.US,D,20250616,000000,1.83,1.92,1.7608,1.92,19141,0
APUS.US,D,20250617,000000,1.91,1.91,1.83,1.84,25279,0
APUS.US,D,20250618,000000,1.8522,1.91,1.78,1.78,24287,0
APUS.US,D,20250620,000000,1.79,1.8661,1.63,1.63,31921,0
APUS.US,D,20250623,000000,1.71,1.77,1.67,1.67,17778,0
APUS.US,D,20250624,000000,1.73,1.7396,1.65,1.65,34863,0
APUS.US,D,20250625,000000,1.7768,1.7768,1.66,1.66,20378,0
APUS.US,D,20250626,000000,1.69,1.7888,1.66,1.7183,7819,0
APUS.US,D,20250627,000000,1.72,1.83,1.67,1.7799,23562,0
APUS.US,D,20250630,000000,1.78,1.828,1.7003,1.76,24701,0
APUS.US,D,20250701,000000,1.9,1.9,1.76,1.77,39348,0
APUS.US,D,20250702,000000,1.77,1.84,1.734,1.74,14843,0
APUS.US,D,20250703,000000,1.75,1.8687,1.75,1.78,15457,0
APUS.US,D,20250707,000000,1.8394,2.29,1.7101,1.8,366931,0
APUS.US,D,20250708,000000,1.81,1.81,1.65,1.75,78950,0
APUS.US,D,20250709,000000,1.79,1.823,1.6842,1.79,19025,0
APUS.US,D,20250710,000000,1.81,1.8342,1.78,1.81,15283,0
APUS.US,D,20250711,000000,1.81,1.83,1.71,1.78,14070,0
APUS.US,D,20250714,000000,1.84,1.85,1.74,1.84,43175,0
APUS.US,D,20250715,000000,1.8005,1.8382,1.7106,1.77,25325,0
APUS.US,D,20250716,000000,1.84,1.92,1.73,1.8,34610,0
APUS.US,D,20250717,000000,1.84,1.8695,1.79,1.79,5638,0
APUS.US,D,20250718,000000,1.8265,1.9189,1.77,1.77,78903,0
APUS.US,D,20250721,000000,1.84,2.1837,1.81,2.1,456876,0
APUS.US,D,20250722,000000,2.2001,2.22,1.81,1.99,206426,0
APUS.US,D,20250723,000000,2.04,2.39,1.93,2.18,220063,0
APUS.US,D,20250724,000000,2.26,2.4783,2.002,2.09,179641,0
APUS.US,D,20250725,000000,2.1,2.4,2.1,2.22,152335,0
APUS.US,D,20250728,000000,2.19,2.26,1.98,2.05,52152,0
APUS.US,D,20250729,000000,2.145,2.18,1.82,1.874,43994,0
APUS.US,D,20250730,000000,1.91,2.017,1.78,1.814,43510,0
APUS.US,D,20250731,000000,1.8319,1.9,1.74,1.74,19227,0
APUS.US,D,20250801,000000,1.8,1.8094,1.68,1.74,37925,0
APUS.US,D,20250804,000000,1.8,1.88,1.56,1.58,106087,0
APUS.US,D,20250805,000000,1.57,1.7162,1.54,1.67,87012,0
APUS.US,D,20250806,000000,1.695,1.73,1.62,1.7,60464,0
APUS.US,D,20250807,000000,1.68,1.71,1.57,1.57,92091,0
APUS.US,D,20250808,000000,1.6,1.66,1.5401,1.59,34024,0
APUS.US,D,20250811,000000,1.59,1.6,1.5,1.53,40315,0
APUS.US,D,20250812,000000,1.5092,1.6553,1.43,1.61,34860,0
APUS.US,D,20250813,000000,1.62,1.6941,1.6024,1.62,32678,0
APUS.US,D,20250814,000000,1.58,1.6,1.52,1.585,16221,0
APUS.US,D,20250815,000000,1.595,1.64,1.56,1.6,19550,0
APUS.US,D,20250818,000000,1.65,2.07,1.59,1.75,1643590,0
APUS.US,D,20250819,000000,1.76,1.9357,1.71,1.9,329319,0
APUS.US,D,20250820,000000,1.86,1.9348,1.7214,1.81,124494,0
APUS.US,D,20250821,000000,1.87,2.27,1.85,2.27,543483,0
APUS.US,D,20250822,000000,2.2563,2.3398,2.0207,2.2,281173,0
APUS.US,D,20250825,000000,2.2014,2.21,1.885,1.935,178925,0
APUS.US,D,20250826,000000,1.955,2,1.86,1.88,66109,0
APUS.US,D,20250827,000000,1.8991,1.98,1.8552,1.89,94648,0
APUS.US,D,20250828,000000,1.9086,1.96,1.82,1.86,59771,0
APUS.US,D,20250829,000000,1.905,1.9554,1.8,1.83,37075,0
APUS.US,D,20250902,000000,1.83,1.8692,1.77,1.8,41637,0
APUS.US,D,20250903,000000,1.81,1.98,1.77,1.94,101131,0
APUS.US,D,20250904,000000,1.9446,1.98,1.8,1.86,31117,0
APUS.US,D,20250905,000000,1.81,2,1.77,1.906,56514,0
APUS.US,D,20250908,000000,1.88,1.92,1.83,1.834,24910,0
APUS.US,D,20250909,000000,1.82,2.09,1.82,2.086,94335,0
APUS.US,D,20250910,000000,2.13,2.13,1.9791,2.02,40912,0
APUS.US,D,20250911,000000,2,2,1.86,1.94,22111,0
APUS.US,D,20250912,000000,1.9902,2.19,1.98,2.08,298376,0
APUS.US,D,20250915,000000,2.04,2.1295,1.9698,2.02,689139,0
APUS.US,D,20250916,000000,1.92,1.95,1.75,1.9,142211,0
APUS.US,D,20250917,000000,1.87,1.92,1.78,1.79,61068,0
APUS.US,D,20250918,000000,1.801,1.91,1.75,1.83,91443,0
APUS.US,D,20250919,000000,1.81,2.08,1.81,2.02,204329,0
APUS.US,D,20250922,000000,1.97,2.0063,1.88,1.96,61919,0
APUS.US,D,20250923,000000,1.93,2,1.83,1.92,81587,0
APUS.US,D,20250924,000000,1.9204,1.96,1.85,1.874,44440,0
APUS.US,D,20250925,000000,1.885,1.89,1.77,1.784,66390,0
APUS.US,D,20250926,000000,1.8001,1.93,1.79,1.93,88477,0
APUS.US,D,20250929,000000,1.89,1.97,1.83,1.9,41110,0
APUS.US,D,20250930,000000,1.8852,1.9021,1.78,1.78,81285,0
APUS.US,D,20251001,000000,1.8114,1.8904,1.71,1.71,36587,0
APUS.US,D,20251002,000000,1.75,1.79,1.71,1.72,26404,0
APUS.US,D,20251003,000000,1.75,1.81,1.7432,1.79,32477,0
APUS.US,D,20251006,000000,1.805,1.8699,1.8,1.84,20560,0
APUS.US,D,20251007,000000,1.84,1.85,1.71,1.71,27920,0
APUS.US,D,20251008,000000,1.76,1.87,1.74,1.87,35296,0
APUS.US,D,20251009,000000,1.85,1.88,1.81,1.86,40002,0
APUS.US,D,20251010,000000,1.84,1.928,1.8,1.88,107136,0
