<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPTI-WS.US,D,20250730,000000,1.6611,1.9,1.62,1.9,9412,0
MPTI-WS.US,D,20250731,000000,1.9,1.9,1.7,1.8,10370,0
MPTI-WS.US,D,20250801,000000,1.71,1.89,1.61,1.74,5591,0
MPTI-WS.US,D,20250804,000000,1.74,1.89,1.6401,1.86,6841,0
MPTI-WS.US,D,20250805,000000,1.77,1.86,1.76,1.86,4940,0
MPTI-WS.US,D,20250806,000000,1.88,1.8955,1.8301,1.8955,12214,0
MPTI-WS.US,D,20250807,000000,1.89,1.89,1.79,1.82,4628,0
MPTI-WS.US,D,20250808,000000,1.845,1.875,1.8,1.85,25668,0
MPTI-WS.US,D,20250811,000000,1.85,1.9,1.8,1.85,58154,0
MPTI-WS.US,D,20250812,000000,1.9,1.92,1.585,1.85,184124,0
MPTI-WS.US,D,20250813,000000,1.45,1.66,1.41,1.555,17323,0
MPTI-WS.US,D,20250814,000000,1.52,1.52,1.36,1.5,6791,0
MPTI-WS.US,D,20250815,000000,1.4904,1.505,1.45,1.475,2336,0
MPTI-WS.US,D,20250818,000000,1.41,1.46,1.31,1.46,2716,0
MPTI-WS.US,D,20250819,000000,1.4131,1.475,1.37,1.475,6396,0
MPTI-WS.US,D,20250820,000000,1.515,1.515,1.45,1.46,993,0
MPTI-WS.US,D,20250821,000000,1.39,1.55,1.39,1.55,8182,0
MPTI-WS.US,D,20250822,000000,1.5244,1.66,1.5,1.5501,33479,0
MPTI-WS.US,D,20250825,000000,1.63,1.66,1.561,1.57,895,0
MPTI-WS.US,D,20250826,000000,1.668,1.669,1.5,1.51,1151,0
MPTI-WS.US,D,20250827,000000,1.42,1.609,1.41,1.609,1166,0
MPTI-WS.US,D,20250828,000000,1.69,1.7,1.56,1.56,8250,0
MPTI-WS.US,D,20250829,000000,1.583,1.659,1.57,1.65,2126,0
MPTI-WS.US,D,20250902,000000,1.55,1.58,1.55,1.55,2577,0
MPTI-WS.US,D,20250903,000000,1.55,1.68,1.55,1.68,7789,0
MPTI-WS.US,D,20250904,000000,1.78,1.88,1.6876,1.6876,1486,0
MPTI-WS.US,D,20250905,000000,1.59,1.6934,1.59,1.64,2228,0
MPTI-WS.US,D,20250908,000000,1.64,1.64,1.44,1.55,2192,0
MPTI-WS.US,D,20250909,000000,1.55,1.65,1.55,1.55,1380,0
MPTI-WS.US,D,20250910,000000,1.75,1.9,1.62,1.77,6380,0
MPTI-WS.US,D,20250911,000000,1.87,1.87,1.75,1.87,1736,0
MPTI-WS.US,D,20250912,000000,1.94,1.95,1.77,1.79,1792,0
MPTI-WS.US,D,20250916,000000,1.69,1.8781,1.69,1.7216,1412,0
MPTI-WS.US,D,20250917,000000,1.621,1.7715,1.621,1.75,2926,0
MPTI-WS.US,D,20250918,000000,1.68,1.75,1.58,1.6972,3396,0
MPTI-WS.US,D,20250919,000000,1.72,2.02,1.69,1.742,19953,0
MPTI-WS.US,D,20250922,000000,1.71,1.785,1.61,1.78,6278,0
MPTI-WS.US,D,20250923,000000,1.744,1.83,1.718,1.82,7258,0
MPTI-WS.US,D,20250924,000000,1.62,1.71,1.61,1.658,7537,0
MPTI-WS.US,D,20250925,000000,1.6311,1.66,1.61,1.61,10555,0
MPTI-WS.US,D,20250926,000000,1.61,1.63,1.46,1.61,15960,0
MPTI-WS.US,D,20250929,000000,1.61,1.64,1.52,1.55,32604,0
MPTI-WS.US,D,20250930,000000,1.5,1.75,1.5,1.75,6707,0
MPTI-WS.US,D,20251001,000000,1.67,1.7146,1.65,1.7146,488,0
MPTI-WS.US,D,20251002,000000,1.6291,1.712,1.53,1.58,4495,0
MPTI-WS.US,D,20251003,000000,1.5513,1.6799,1.49,1.6,1734,0
MPTI-WS.US,D,20251006,000000,1.6,1.71,1.6,1.6001,17831,0
MPTI-WS.US,D,20251007,000000,1.57,1.655,1.5,1.5,5741,0
MPTI-WS.US,D,20251008,000000,1.42,1.6501,1.41,1.6,7879,0
MPTI-WS.US,D,20251009,000000,1.6,1.95,1.4,1.825,17350,0
MPTI-WS.US,D,20251010,000000,1.74,1.7932,1.413,1.58,3905,0
MPTI-WS.US,D,20251013,000000,1.6,1.6201,1.468,1.57,1587,0
MPTI-WS.US,D,20251014,000000,1.56,1.67,1.55,1.66,5113,0
MPTI-WS.US,D,20251015,000000,1.75,1.8,1.74,1.8,6193,0
MPTI-WS.US,D,20251016,000000,1.8,1.8,1.61,1.68,11596,0
MPTI-WS.US,D,20251017,000000,1.68,1.68,1.482,1.6,3606,0
MPTI-WS.US,D,20251020,000000,1.61,1.61,1.51,1.55,604,0
MPTI-WS.US,D,20251021,000000,1.47,1.47,1.36,1.36,65996,0
MPTI-WS.US,D,20251022,000000,1.3,1.42,1.3,1.4199,5027,0
MPTI-WS.US,D,20251023,000000,1.421,1.48,1.421,1.4553,2862,0
MPTI-WS.US,D,20251024,000000,1.5,1.52,1.36,1.3999,34403,0
MPTI-WS.US,D,20251027,000000,1.45,1.53,1.3,1.4,149126,0
MPTI-WS.US,D,20251028,000000,1.4,1.44,1.13,1.28,78948,0
MPTI-WS.US,D,20251029,000000,1.2,2.3,1.18,1.7,153334,0
MPTI-WS.US,D,20251030,000000,1.68,1.68,1.3218,1.45,148458,0
MPTI-WS.US,D,20251031,000000,1.5,1.6,1.45,1.5,36819,0
MPTI-WS.US,D,20251103,000000,1.5,4.88,1.45,1.6,110587,0
MPTI-WS.US,D,20251104,000000,1.6,1.72,1.3,1.3764,10246,0
MPTI-WS.US,D,20251105,000000,1.25,1.25,0.828,1.08,66386,0
